x,y,z,p
  0.0000,  0.2095,  2.5348,1.0003152e-02
  0.3173,  0.2095,  2.5119,1.0003209e-02
  0.1985,  0.4584,  2.5203,1.0002799e-02
 -0.0709,  0.5202,  2.5229,1.0002670e-02
 -0.2864,  0.3474,  2.5162,1.0003001e-02
 -0.2855,  0.0720,  2.5081,1.0003393e-02
 -0.0704, -0.0989,  2.5036,1.0003641e-02
  0.1973, -0.0379,  2.5053,1.0003545e-02
  0.6277,  0.2095,  2.4447,1.0003304e-02
  0.5575,  0.5021,  2.4523,1.0003024e-02
  0.3591,  0.7297,  2.4619,1.0002574e-02
  0.0764,  0.8385,  2.4678,1.0002277e-02
 -0.2245,  0.8014,  2.4657,1.0002383e-02
 -0.4722,  0.6278,  2.4571,1.0002804e-02
 -0.6103,  0.3599,  2.4480,1.0003192e-02
 -0.6088,  0.0594,  2.4421,1.0003383e-02
 -0.4685, -0.2055,  2.4376,1.0003587e-02
 -0.2215, -0.3746,  2.4329,1.0003880e-02
  0.0753, -0.4103,  2.4315,1.0003971e-02
  0.3552, -0.3051,  2.4351,1.0003736e-02
  0.5547, -0.0816,  2.4399,1.0003469e-02
  0.9253,  0.2095,  2.3370,1.0003272e-02
  0.8763,  0.5103,  2.3400,1.0003351e-02
  0.7338,  0.7806,  2.3486,1.0003078e-02
  0.5110,  0.9916,  2.3596,1.0002557e-02
  0.2301,  1.1183,  2.3678,1.0002134e-02
 -0.0775,  1.1445,  2.3696,1.0002039e-02
 -0.3760,  1.0667,  2.3643,1.0002314e-02
 -0.6313,  0.8952,  2.3541,1.0002827e-02
 -0.8161,  0.6511,  2.3437,1.0003262e-02
 -0.9130,  0.3618,  2.3378,1.0003345e-02
 -0.9128,  0.0572,  2.3373,1.0003176e-02
 -0.8141, -0.2310,  2.3378,1.0003084e-02
 -0.6260, -0.4705,  2.3344,1.0003273e-02
 -0.3701, -0.6343,  2.3273,1.0003669e-02
 -0.0759, -0.7068,  2.3223,1.0003954e-02
  0.2259, -0.6825,  2.3241,1.0003849e-02
  0.5048, -0.5631,  2.3310,1.0003461e-02
