x,y,z,p
  0.0000,  0.2095,  0.4256,1.5623369e+00
  0.0535,  0.2095,  0.4232,1.5513874e+00
  0.0333,  0.2512,  0.4227,1.5650235e+00
 -0.0119,  0.2615,  0.4225,1.5693685e+00
 -0.0481,  0.2327,  0.4230,1.5580696e+00
 -0.0482,  0.1863,  0.4231,1.5473519e+00
 -0.0119,  0.1575,  0.4225,1.5465058e+00
  0.0333,  0.1677,  0.4228,1.5462510e+00
  0.1068,  0.2095,  0.4159,1.5206872e+00
  0.0943,  0.2590,  0.4149,1.5392880e+00
  0.0603,  0.2969,  0.4137,1.5593253e+00
  0.0128,  0.3148,  0.4132,1.5694662e+00
 -0.0376,  0.3087,  0.4133,1.5660188e+00
 -0.0796,  0.2800,  0.4142,1.5500034e+00
 -0.1036,  0.2350,  0.4155,1.5289251e+00
 -0.1037,  0.1839,  0.4159,1.5157562e+00
 -0.0797,  0.1389,  0.4149,1.5157307e+00
 -0.0376,  0.1102,  0.4135,1.5214744e+00
  0.0128,  0.1042,  0.4132,1.5232315e+00
  0.0604,  0.1220,  0.4141,1.5185880e+00
  0.0945,  0.1599,  0.4155,1.5143469e+00
  0.1595,  0.2095,  0.4029,1.4763015e+00
  0.1504,  0.2611,  0.4017,1.4962425e+00
  0.1249,  0.3067,  0.3997,1.5234930e+00
  0.0862,  0.3415,  0.3982,1.5470264e+00
  0.0386,  0.3621,  0.3976,1.5603810e+00
 -0.0130,  0.3664,  0.3975,1.5629687e+00
 -0.0633,  0.3537,  0.3978,1.5550972e+00
 -0.1070,  0.3257,  0.3989,1.5363038e+00
 -0.1395,  0.2850,  0.4007,1.5096602e+00
 -0.1572,  0.2357,  0.4025,1.4847295e+00
 -0.1573,  0.1832,  0.4029,1.4715643e+00
 -0.1399,  0.1338,  0.4017,1.4724476e+00
 -0.1072,  0.0931,  0.3997,1.4815634e+00
 -0.0633,  0.0651,  0.3981,1.4907920e+00
 -0.0130,  0.0527,  0.3974,1.4952199e+00
  0.0387,  0.0569,  0.3977,1.4937318e+00
  0.0864,  0.0773,  0.3988,1.4865839e+00
  0.1252,  0.1120,  0.4007,1.4765102e+00
  0.1507,  0.1578,  0.4024,1.4704790e+00
  0.2106,  0.2095,  0.3832,1.4268414e+00
  0.2036,  0.2618,  0.3824,1.4435821e+00
  0.1831,  0.3102,  0.3802,1.4726699e+00
  0.1514,  0.3517,  0.3778,1.5047060e+00
  0.1108,  0.3842,  0.3763,1.5302137e+00
  0.0638,  0.4060,  0.3758,1.5453571e+00
  0.0130,  0.4156,  0.3757,1.5511968e+00
 -0.0387,  0.4124,  0.3757,1.5493055e+00
 -0.0880,  0.3965,  0.3759,1.5390796e+00
 -0.1321,  0.3692,  0.3769,1.5186725e+00
 -0.1685,  0.3319,  0.3789,1.4890021e+00
 -0.1949,  0.2867,  0.3814,1.4570746e+00
 -0.2089,  0.2359,  0.3830,1.4332889e+00
 -0.2088,  0.1831,  0.3828,1.4243672e+00
 -0.1948,  0.1324,  0.3811,1.4296298e+00
 -0.1684,  0.0872,  0.3786,1.4428709e+00
 -0.1319,  0.0500,  0.3765,1.4562311e+00
 -0.0879,  0.0228,  0.3753,1.4641051e+00
 -0.0386,  0.0070,  0.3751,1.4662718e+00
  0.0129,  0.0037,  0.3751,1.4663771e+00
  0.0637,  0.0134,  0.3751,1.4656989e+00
  0.1107,  0.0351,  0.3758,1.4610111e+00
  0.1513,  0.0675,  0.3774,1.4499867e+00
  0.1830,  0.1089,  0.3798,1.4357514e+00
  0.2035,  0.1573,  0.3821,1.4255292e+00
  0.2585,  0.2095,  0.3559,1.3810789e+00
  0.2531,  0.2633,  0.3562,1.3900113e+00
  0.2353,  0.3143,  0.3545,1.4161975e+00
  0.2067,  0.3597,  0.3517,1.4524980e+00
  0.1698,  0.3981,  0.3493,1.4877458e+00
  0.1264,  0.4285,  0.3481,1.5136971e+00
  0.0781,  0.4498,  0.3478,1.5286176e+00
  0.0264,  0.4609,  0.3479,1.5348988e+00
 -0.0264,  0.4609,  0.3479,1.5348987e+00
 -0.0781,  0.4498,  0.3478,1.5286176e+00
 -0.1264,  0.4285,  0.3481,1.5136970e+00
 -0.1698,  0.3981,  0.3493,1.4877457e+00
 -0.2067,  0.3597,  0.3517,1.4524978e+00
 -0.2353,  0.3143,  0.3545,1.4161972e+00
 -0.2531,  0.2633,  0.3562,1.3900109e+00
 -0.2585,  0.2095,  0.3559,1.3810783e+00
 -0.2513,  0.1561,  0.3536,1.3891151e+00
 -0.2325,  0.1060,  0.3503,1.4082841e+00
 -0.2040,  0.0613,  0.3471,1.4305432e+00
 -0.1677,  0.0233,  0.3449,1.4477242e+00
 -0.1251, -0.0071,  0.3443,1.4538064e+00
 -0.0774, -0.0289,  0.3450,1.4491723e+00
 -0.0263, -0.0404,  0.3459,1.4422608e+00
  0.0263, -0.0404,  0.3459,1.4422610e+00
  0.0774, -0.0289,  0.3450,1.4491730e+00
  0.1251, -0.0071,  0.3443,1.4538074e+00
  0.1677,  0.0233,  0.3449,1.4477254e+00
  0.2040,  0.0613,  0.3471,1.4305444e+00
  0.2325,  0.1060,  0.3503,1.4082851e+00
  0.2513,  0.1561,  0.3536,1.3891159e+00
  0.2820,  0.2095,  0.3003,1.5225020e+00
  0.2782,  0.2600,  0.3010,1.5244084e+00
  0.2835,  0.3159,  0.3225,1.3584489e+00
  0.2581,  0.3637,  0.3202,1.3923072e+00
  0.2244,  0.4055,  0.3173,1.4331964e+00
  0.1845,  0.4409,  0.3152,1.4696626e+00
  0.1398,  0.4693,  0.3142,1.4951474e+00
  0.0912,  0.4901,  0.3142,1.5095121e+00
  0.0396,  0.5021,  0.3144,1.5158688e+00
 -0.0133,  0.5045,  0.3145,1.5169829e+00
 -0.0657,  0.4972,  0.3143,1.5134801e+00
 -0.1159,  0.4807,  0.3141,1.5035518e+00
 -0.1627,  0.4560,  0.3145,1.4839124e+00
 -0.2051,  0.4240,  0.3161,1.4525561e+00
 -0.2421,  0.3854,  0.3187,1.4126421e+00
 -0.2720,  0.3405,  0.3215,1.3737536e+00
 -0.2733,  0.2849,  0.3019,1.5225434e+00
 -0.2811,  0.2348,  0.3005,1.5243502e+00
 -0.2808,  0.1842,  0.3003,1.5193694e+00
 -0.2852,  0.1308,  0.3151,1.3807409e+00
 -0.2631,  0.0828,  0.3110,1.4134998e+00
 -0.2336,  0.0397,  0.3075,1.4448974e+00
 -0.1982,  0.0022,  0.3054,1.4673083e+00
 -0.1578, -0.0295,  0.3050,1.4734650e+00
 -0.1131, -0.0551,  0.3064,1.4610159e+00
 -0.0646, -0.0733,  0.3089,1.4388826e+00
 -0.0131, -0.0819,  0.3106,1.4244882e+00
  0.0391, -0.0790,  0.3100,1.4296654e+00
  0.0893, -0.0653,  0.3077,1.4501340e+00
  0.1359, -0.0431,  0.3055,1.4693161e+00
