x,y,z,p
  0.0000,  0.2095,  1.2047,2.4509040e-01
  0.0756,  0.2095,  1.2021,2.4510678e-01
  0.0472,  0.2687,  1.2030,2.4541756e-01
 -0.0168,  0.2833,  1.2033,2.4549362e-01
 -0.0682,  0.2423,  1.2026,2.4528053e-01
 -0.0681,  0.1767,  1.2016,2.4492502e-01
 -0.0168,  0.1358,  1.2010,2.4467767e-01
  0.0471,  0.1504,  1.2012,2.4476934e-01
  0.1509,  0.2095,  1.1943,2.4515942e-01
  0.1337,  0.2797,  1.1954,2.4549166e-01
  0.0859,  0.3339,  1.1964,2.4575436e-01
  0.0182,  0.3596,  1.1970,2.4588545e-01
 -0.0536,  0.3509,  1.1968,2.4584030e-01
 -0.1131,  0.3097,  1.1960,2.4563524e-01
 -0.1466,  0.2456,  1.1949,2.4533131e-01
 -0.1464,  0.1734,  1.1938,2.4497927e-01
 -0.1128,  0.1096,  1.1930,2.4461403e-01
 -0.0534,  0.0686,  1.1925,2.4432556e-01
  0.0182,  0.0600,  1.1924,2.4425661e-01
  0.0856,  0.0855,  1.1927,2.4445116e-01
  0.1335,  0.1394,  1.1934,2.4479481e-01
  0.2254,  0.2095,  1.1815,2.4525801e-01
  0.2134,  0.2827,  1.1825,2.4554321e-01
  0.1782,  0.3482,  1.1837,2.4581590e-01
  0.1236,  0.3987,  1.1848,2.4605296e-01
  0.0555,  0.4287,  1.1855,2.4620746e-01
 -0.0187,  0.4349,  1.1857,2.4624058e-01
 -0.0908,  0.4165,  1.1852,2.4614349e-01
 -0.1530,  0.3757,  1.1843,2.4594163e-01
 -0.1985,  0.3169,  1.1831,2.4568167e-01
 -0.2224,  0.2466,  1.1820,2.4540230e-01
 -0.2222,  0.1724,  1.1810,2.4510731e-01
 -0.1980,  0.1023,  1.1802,2.4477340e-01
 -0.1524,  0.0440,  1.1795,2.4439919e-01
 -0.0903,  0.0035,  1.1791,2.4405497e-01
 -0.0186, -0.0146,  1.1789,2.4386960e-01
  0.0552, -0.0085,  1.1789,2.4393440e-01
  0.1230,  0.0212,  1.1793,2.4421584e-01
  0.1776,  0.0713,  1.1798,2.4458892e-01
  0.2130,  0.1364,  1.1806,2.4494655e-01
  0.2988,  0.2095,  1.1636,2.4541610e-01
  0.2896,  0.2839,  1.1645,2.4562009e-01
  0.2623,  0.3537,  1.1657,2.4584162e-01
  0.2184,  0.4146,  1.1669,2.4608080e-01
  0.1607,  0.4627,  1.1681,2.4630670e-01
  0.0928,  0.4950,  1.1690,2.4647672e-01
  0.0189,  0.5092,  1.1694,2.4655628e-01
 -0.0563,  0.5044,  1.1693,2.4652930e-01
 -0.1278,  0.4810,  1.1686,2.4640121e-01
 -0.1911,  0.4405,  1.1675,2.4619806e-01
 -0.2423,  0.3855,  1.1663,2.4596039e-01
 -0.2781,  0.3196,  1.1651,2.4572778e-01
 -0.2965,  0.2470,  1.1640,2.4551737e-01
 -0.2963,  0.1721,  1.1632,2.4531096e-01
 -0.2775,  0.0996,  1.1625,2.4506426e-01
 -0.2413,  0.0342,  1.1618,2.4473708e-01
 -0.1901, -0.0202,  1.1613,2.4433051e-01
 -0.1269, -0.0602,  1.1608,2.4391318e-01
 -0.0558, -0.0832,  1.1606,2.4361096e-01
  0.0187, -0.0879,  1.1605,2.4354302e-01
  0.0921, -0.0739,  1.1607,2.4373901e-01
  0.1597, -0.0422,  1.1610,2.4411617e-01
  0.2174,  0.0053,  1.1615,2.4454115e-01
  0.2615,  0.0657,  1.1621,2.4491205e-01
  0.2892,  0.1352,  1.1628,2.4519570e-01
  0.3707,  0.2095,  1.1409,2.4564725e-01
  0.3633,  0.2842,  1.1416,2.4574671e-01
  0.3412,  0.3559,  1.1426,2.4588235e-01
  0.3050,  0.4218,  1.1438,2.4606936e-01
  0.2564,  0.4792,  1.1452,2.4629197e-01
  0.1970,  0.5256,  1.1465,2.4651431e-01
  0.1295,  0.5591,  1.1475,2.4669680e-01
  0.0565,  0.5783,  1.1482,2.4680840e-01
 -0.0189,  0.5821,  1.1483,2.4683159e-01
 -0.0935,  0.5706,  1.1479,2.4676289e-01
 -0.1641,  0.5441,  1.1470,2.4661276e-01
 -0.2279,  0.5039,  1.1458,2.4640574e-01
 -0.2822,  0.4517,  1.1445,2.4617818e-01
 -0.3248,  0.3898,  1.1432,2.4596976e-01
 -0.3541,  0.3206,  1.1421,2.4580829e-01
 -0.3689,  0.2470,  1.1412,2.4569464e-01
 -0.3687,  0.1720,  1.1405,2.4559831e-01
 -0.3534,  0.0986,  1.1400,2.4546755e-01
 -0.3237,  0.0298,  1.1395,2.4524880e-01
 -0.2808, -0.0316,  1.1389,2.4490829e-01
 -0.2264, -0.0830,  1.1384,2.4445355e-01
 -0.1628, -0.1225,  1.1379,2.4395077e-01
 -0.0926, -0.1483,  1.1376,2.4352247e-01
 -0.0187, -0.1596,  1.1375,2.4330585e-01
  0.0560, -0.1558,  1.1375,2.4338052e-01
  0.1284, -0.1372,  1.1378,2.4371829e-01
  0.1956, -0.1043,  1.1381,2.4420156e-01
  0.2549, -0.0587,  1.1387,2.4469256e-01
  0.3038, -0.0020,  1.1392,2.4509451e-01
  0.3403,  0.0635,  1.1397,2.4537201e-01
  0.3629,  0.1349,  1.1403,2.4554079e-01
  0.4408,  0.2095,  1.1134,2.4596013e-01
  0.4347,  0.2840,  1.1139,2.4594172e-01
  0.4161,  0.3565,  1.1147,2.4596919e-01
  0.3857,  0.4250,  1.1158,2.4606893e-01
  0.3441,  0.4874,  1.1171,2.4623942e-01
  0.2926,  0.5419,  1.1186,2.4645493e-01
  0.2325,  0.5871,  1.1200,2.4667772e-01
  0.1655,  0.6214,  1.1212,2.4687094e-01
  0.0936,  0.6438,  1.1220,2.4700656e-01
