x,y,z,p
-3.5000e-07,-2.3740e-05,2.5517e+00,1.0000003e-02
3.3447e-01,-2.3740e-05,2.5315e+00,1.0000003e-02
2.0851e-01,2.6145e-01,2.5312e+00,1.0000003e-02
-7.4445e-02,3.2614e-01,2.5322e+00,1.0000003e-02
-3.0126e-01,1.4506e-01,2.5308e+00,1.0000003e-02
-3.0144e-01,-1.4519e-01,2.5324e+00,1.0000003e-02
-7.4410e-02,-3.2603e-01,2.5309e+00,1.0000003e-02
2.0857e-01,-2.6156e-01,2.5319e+00,1.0000003e-02
6.6463e-01,-2.3740e-05,2.4725e+00,1.0000005e-02
5.8711e-01,3.0812e-01,2.4664e+00,1.0000005e-02
3.7738e-01,5.4670e-01,2.4713e+00,1.0000005e-02
8.0302e-02,6.6132e-01,2.4786e+00,1.0000005e-02
-2.3595e-01,6.2213e-01,2.4755e+00,1.0000005e-02
-4.9650e-01,4.3984e-01,2.4674e+00,1.0000005e-02
-6.4434e-01,1.5879e-01,2.4686e+00,1.0000005e-02
-6.4643e-01,-1.5936e-01,2.4770e+00,1.0000005e-02
-4.9850e-01,-4.4165e-01,2.4778e+00,1.0000005e-02
-2.3542e-01,-6.2077e-01,2.4696e+00,1.0000005e-02
7.9936e-02,-6.5836e-01,2.4668e+00,1.0000005e-02
3.7782e-01,-5.4739e-01,2.4743e+00,1.0000005e-02
5.8996e-01,-3.0966e-01,2.4789e+00,1.0000005e-02
9.8762e-01,-2.3740e-05,2.3784e+00,1.0000007e-02
9.2772e-01,3.1846e-01,2.3613e+00,1.0000008e-02
7.7368e-01,6.0216e-01,2.3602e+00,1.0000008e-02
5.3965e-01,8.2598e-01,2.3760e+00,1.0000007e-02
2.4400e-01,9.6352e-01,2.3944e+00,1.0000006e-02
-8.2223e-02,9.9226e-01,2.3987e+00,1.0000006e-02
-3.9779e-01,9.0685e-01,2.3851e+00,1.0000006e-02
-6.6553e-01,7.2293e-01,2.3658e+00,1.0000008e-02
-8.6161e-01,4.6626e-01,2.3584e+00,1.0000008e-02
-9.7068e-01,1.6195e-01,2.3695e+00,1.0000007e-02
-9.7835e-01,-1.6328e-01,2.3891e+00,1.0000006e-02
-8.7593e-01,-4.7405e-01,2.3995e+00,1.0000005e-02
-6.7232e-01,-7.3036e-01,2.3912e+00,1.0000006e-02
-3.9566e-01,-9.0204e-01,2.3717e+00,1.0000007e-02
-8.0915e-02,-9.7652e-01,2.3587e+00,1.0000008e-02
2.4105e-01,-9.5191e-01,2.3640e+00,1.0000008e-02
5.4113e-01,-8.2828e-01,2.3828e+00,1.0000007e-02
7.8549e-01,-6.1139e-01,2.3980e+00,1.0000006e-02
9.4066e-01,-3.2295e-01,2.3959e+00,1.0000006e-02
