x,y,z,p
-3.5000e-07,-2.3740e-05,9.9270e-01,2.4979665e-01
1.3907e-01,-2.3740e-05,9.8477e-01,2.4979105e-01
8.6700e-02,1.0870e-01,9.8468e-01,2.4979099e-01
-3.0951e-02,1.3558e-01,9.8495e-01,2.4979127e-01
-1.2527e-01,6.0304e-02,9.8456e-01,2.4979093e-01
-1.2532e-01,-6.0376e-02,9.8500e-01,2.4979134e-01
-3.0941e-02,-1.3558e-01,9.8460e-01,2.4979094e-01
8.6716e-02,-1.0876e-01,9.8488e-01,2.4979117e-01
2.7657e-01,-2.3740e-05,9.6110e-01,2.4981269e-01
2.4450e-01,1.2830e-01,9.5938e-01,2.4979554e-01
1.5706e-01,2.2752e-01,9.6076e-01,2.4980897e-01
3.3389e-02,2.7497e-01,9.6281e-01,2.4983290e-01
-9.8148e-02,2.5877e-01,9.6192e-01,2.4982220e-01
-2.0674e-01,1.8313e-01,9.5966e-01,2.4979802e-01
-2.6826e-01,6.6096e-02,9.6000e-01,2.4980121e-01
-2.6884e-01,-6.6288e-02,9.6235e-01,2.4982725e-01
-2.0730e-01,-1.8367e-01,9.6258e-01,2.4983000e-01
-9.7999e-02,-2.5842e-01,9.6028e-01,2.4980399e-01
3.3287e-02,-2.7417e-01,9.5950e-01,2.4979659e-01
1.5718e-01,-2.2774e-01,9.6161e-01,2.4981846e-01
2.4530e-01,-1.2877e-01,9.6290e-01,2.4983393e-01
4.1105e-01,-2.3740e-05,9.2213e-01,2.4990524e-01
3.8700e-01,1.3284e-01,9.1739e-01,2.4984416e-01
3.2280e-01,2.5122e-01,9.1708e-01,2.4983966e-01
2.2468e-01,3.4387e-01,9.2145e-01,2.4989750e-01
1.0135e-01,4.0020e-01,9.2670e-01,2.4994666e-01
-3.4135e-02,4.1193e-01,9.2797e-01,2.4995509e-01
-1.6542e-01,3.7709e-01,9.2403e-01,2.4992470e-01
-2.7746e-01,3.0137e-01,9.1862e-01,2.4986139e-01
-3.5958e-01,1.9457e-01,9.1658e-01,2.4983255e-01
-4.0447e-01,6.7471e-02,9.1965e-01,2.4987510e-01
-4.0664e-01,-6.7880e-02,9.2519e-01,2.4993494e-01
-3.6362e-01,-1.9680e-01,9.2819e-01,2.4995639e-01
-2.7937e-01,-3.0350e-01,9.2577e-01,2.4993966e-01
