x,y,z,p
-3.5000e-07,-2.3740e-05,2.8235e-01,1.5004061e+00
4.9913e-02,-2.3740e-05,2.7904e-01,1.5003885e+00
3.1120e-02,3.9000e-02,2.7904e-01,1.5003892e+00
-1.1107e-02,4.8639e-02,2.7904e-01,1.5003871e+00
-4.4971e-02,2.1633e-02,2.7904e-01,1.5003902e+00
-4.4971e-02,-2.1681e-02,2.7904e-01,1.5003867e+00
-1.1107e-02,-4.8686e-02,2.7904e-01,1.5003899e+00
3.1120e-02,-3.9048e-02,2.7904e-01,1.5003876e+00
9.8920e-02,-2.3740e-05,2.6921e-01,1.5002462e+00
8.7585e-02,4.5945e-02,2.6919e-01,1.5002644e+00
5.6192e-02,8.1385e-02,2.6920e-01,1.5002496e+00
1.1924e-02,9.8180e-02,2.6922e-01,1.5002308e+00
-3.5079e-02,9.2471e-02,2.6921e-01,1.5002384e+00
-7.4040e-02,6.5570e-02,2.6919e-01,1.5002613e+00
-9.6043e-02,2.3649e-02,2.6919e-01,1.5002575e+00
-9.6050e-02,-2.3698e-02,2.6922e-01,1.5002347e+00
-7.4047e-02,-6.5623e-02,2.6922e-01,1.5002327e+00
-3.5077e-02,-9.2514e-02,2.6920e-01,1.5002545e+00
1.1923e-02,-9.8218e-02,2.6919e-01,1.5002630e+00
5.6194e-02,-8.1435e-02,2.6921e-01,1.5002413e+00
8.7594e-02,-4.5997e-02,2.6923e-01,1.5002301e+00
1.4614e-01,-2.3740e-05,2.5305e-01,1.5001617e+00
1.3821e-01,4.7422e-02,2.5300e-01,1.5001676e+00
1.1531e-01,8.9726e-02,2.5300e-01,1.5001681e+00
7.9930e-02,1.2232e-01,2.5304e-01,1.5001625e+00
3.5880e-02,1.4166e-01,2.5309e-01,1.5001550e+00
-1.2071e-02,1.4564e-01,2.5311e-01,1.5001525e+00
-5.8708e-02,1.3382e-01,2.5307e-01,1.5001593e+00
-9.8970e-02,1.0749e-01,2.5301e-01,1.5001659e+00
-1.2851e-01,6.9522e-02,2.5299e-01,1.5001690e+00
-1.4414e-01,2.4029e-02,2.5302e-01,1.5001646e+00
-1.4416e-01,-2.4080e-02,2.5308e-01,1.5001576e+00
-1.2855e-01,-6.9591e-02,2.5311e-01,1.5001520e+00
-9.8989e-02,-1.0755e-01,2.5308e-01,1.5001567e+00
-5.8702e-02,-1.3385e-01,2.5303e-01,1.5001639e+00
-1.2067e-02,-1.4564e-01,2.5299e-01,1.5001688e+00
3.5871e-02,-1.4168e-01,2.5301e-01,1.5001666e+00
7.9934e-02,-1.2237e-01,2.5306e-01,1.5001602e+00
1.1534e-01,-8.9800e-02,2.5310e-01,1.5001530e+00
1.3824e-01,-4.7482e-02,2.5310e-01,1.5001542e+00
1.9076e-01,-2.3740e-05,2.3093e-01,1.5000864e+00
1.8473e-01,4.7406e-02,2.3085e-01,1.5001152e+00
1.6711e-01,9.1846e-02,2.3081e-01,1.5001241e+00
1.3902e-01,1.3053e-01,2.3084e-01,1.5001170e+00
1.0221e-01,1.6104e-01,2.3092e-01,1.5000901e+00
5.8962e-02,1.8144e-01,2.3101e-01,1.5000568e+00
1.1982e-02,1.9043e-01,2.3106e-01,1.5000414e+00
-3.5757e-02,1.8742e-01,2.3104e-01,1.5000474e+00
-8.1231e-02,1.7260e-01,2.3096e-01,1.5000745e+00
-1.2158e-01,1.4694e-01,2.3087e-01,1.5001078e+00
-1.5428e-01,1.1207e-01,2.3082e-01,1.5001231e+00
-1.7731e-01,7.0180e-02,2.3083e-01,1.5001213e+00
-1.8924e-01,2.3883e-02,2.3089e-01,1.5001012e+00
-1.8929e-01,-2.3936e-02,2.3098e-01,1.5000666e+00
-1.7743e-01,-7.0272e-02,2.3105e-01,1.5000440e+00
-1.5438e-01,-1.1219e-01,2.3105e-01,1.5000429e+00
-1.2162e-01,-1.4704e-01,2.3099e-01,1.5000634e+00
-8.1217e-02,-1.7262e-01,2.3090e-01,1.5000979e+00
-3.5735e-02,-1.8735e-01,2.3083e-01,1.5001202e+00
1.1974e-02,-1.9035e-01,2.3082e-01,1.5001236e+00
5.8938e-02,-1.8142e-01,2.3087e-01,1.5001103e+00
