x,y,z,p
-7.6400e-06,3.3300e-06,3.9731e+00,9.9999194e-04
4.9799e-01,3.3300e-06,3.9420e+00,9.9999315e-04
3.0475e-01,3.8216e-01,3.8692e+00,9.9999981e-04
-1.0811e-01,4.7361e-01,3.8454e+00,1.0001412e-03
-4.4091e-01,2.1233e-01,3.8737e+00,9.9999874e-04
-4.5344e-01,-2.1836e-01,3.9838e+00,9.9998106e-04
-1.1471e-01,-5.0252e-01,4.0802e+00,9.9996278e-04
3.1919e-01,-4.0025e-01,4.0525e+00,9.9997010e-04
9.8334e-01,3.3300e-06,3.8299e+00,9.9999583e-04
8.5678e-01,4.4968e-01,3.7686e+00,9.9921567e-04
5.4876e-01,7.9504e-01,3.7625e+00,1.0005182e-03
1.1623e-01,9.5731e-01,3.7558e+00,1.0006238e-03
-3.3895e-01,8.9371e-01,3.7227e+00,9.9999956e-04
-7.1092e-01,6.2982e-01,3.6991e+00,9.9999903e-04
-9.3242e-01,2.2982e-01,3.7402e+00,9.9999987e-04
-9.6115e-01,-2.3690e-01,3.8554e+00,9.9998443e-04
-7.6884e-01,-6.8112e-01,4.0005e+00,9.9995593e-04
-3.7438e-01,-9.8713e-01,4.1118e+00,9.9994555e-04
1.2817e-01,-1.0556e+00,4.1415e+00,9.9994525e-04
5.9481e-01,-8.6173e-01,4.0781e+00,9.9994992e-04
8.9866e-01,-4.7166e-01,3.9529e+00,9.9997108e-04
1.4422e+00,3.3300e-06,3.6427e+00,9.9999864e-04
1.3484e+00,4.6293e-01,3.6009e+00,9.9999994e-04
1.1327e+00,8.8162e-01,3.6253e+00,9.9999987e-04
7.9507e-01,1.2170e+00,3.6715e+00,9.9999662e-04
3.5874e-01,1.4167e+00,3.6910e+00,9.9999309e-04
-1.1974e-01,1.4449e+00,3.6620e+00,9.9999589e-04
-5.7173e-01,1.3034e+00,3.5948e+00,9.9999995e-04
-9.4554e-01,1.0271e+00,3.5261e+00,9.9999820e-04
-1.2187e+00,6.5953e-01,3.4999e+00,9.9999715e-04
-1.3832e+00,2.3082e-01,3.5419e+00,9.9999958e-04
-1.4245e+00,-2.3770e-01,3.6475e+00,9.9999189e-04
-1.3200e+00,-7.1435e-01,3.7908e+00,9.9996164e-04
-1.0557e+00,-1.1468e+00,3.9368e+00,9.9994423e-04
-6.4431e-01,-1.4689e+00,4.0511e+00,9.9994479e-04
-1.3433e-01,-1.6211e+00,4.1084e+00,9.9994827e-04
3.9813e-01,-1.5722e+00,4.0963e+00,9.9994762e-04
8.7010e-01,-1.3318e+00,4.0180e+00,9.9994476e-04
1.2161e+00,-9.4651e-01,3.8922e+00,9.9995161e-04
1.4052e+00,-4.8239e-01,3.7523e+00,9.9997891e-04
1.8639e+00,3.3300e-06,3.3904e+00,9.9918929e-04
1.7939e+00,4.6060e-01,3.3689e+00,9.9999955e-04
1.6444e+00,9.0401e-01,3.4133e+00,9.9999971e-04
1.3994e+00,1.3142e+00,3.4920e+00,9.9999048e-04
1.0501e+00,1.6546e+00,3.5647e+00,9.9997412e-04
6.1191e-01,1.8833e+00,3.6020e+00,9.9996482e-04
1.2392e-01,1.9697e+00,3.5900e+00,9.9996552e-04
-3.6368e-01,1.9065e+00,3.5303e+00,9.9997678e-04
-8.0484e-01,1.7103e+00,3.4383e+00,9.9999419e-04
-1.1709e+00,1.4153e+00,3.3412e+00,9.9999962e-04
-1.4547e+00,1.0569e+00,3.2707e+00,9.9999616e-04
-1.6616e+00,6.5789e-01,3.2508e+00,9.9999605e-04
-1.7936e+00,2.2658e-01,3.2884e+00,9.9999706e-04
-1.8418e+00,-2.3267e-01,3.3768e+00,9.9999880e-04
-1.7897e+00,-7.0860e-01,3.5014e+00,9.9997600e-04
-1.6201e+00,-1.1771e+00,3.6426e+00,9.9994899e-04
-1.3241e+00,-1.6005e+00,3.7784e+00,9.9994296e-04
-9.1024e-01,-1.9343e+00,3.8887e+00,9.9994932e-04
-4.0770e-01,-2.1372e+00,3.9577e+00,9.9995586e-04
1.3725e-01,-2.1817e+00,3.9763e+00,9.9995778e-04
6.6967e-01,-2.0611e+00,3.9420e+00,9.9995434e-04
1.1369e+00,-1.7915e+00,3.8596e+00,9.9994736e-04
1.4991e+00,-1.4078e+00,3.7408e+00,9.9994436e-04
1.7365e+00,-9.5467e-01,3.6046e+00,9.9995982e-04
1.8515e+00,-4.7539e-01,3.4772e+00,9.9998962e-04
2.2402e+00,3.3300e-06,3.0834e+00,9.9999899e-04
2.1897e+00,4.6544e-01,3.0812e+00,9.9999868e-04
2.0841e+00,9.2789e-01,3.1399e+00,9.9999963e-04
1.9017e+00,1.3817e+00,3.2353e+00,9.9998492e-04
1.6214e+00,1.8008e+00,3.3352e+00,9.9996115e-04
1.2398e+00,2.1475e+00,3.4130e+00,9.9994895e-04
7.7505e-01,2.3854e+00,3.4522e+00,9.9994578e-04
2.6163e-01,2.4893e+00,3.4452e+00,9.9994539e-04
-2.5766e-01,2.4514e+00,3.3926e+00,9.9994838e-04
-7.4159e-01,2.2824e+00,3.3031e+00,9.9996194e-04
-1.1599e+00,2.0090e+00,3.1929e+00,9.9998751e-04
-1.4998e+00,1.6656e+00,3.0849e+00,9.9999995e-04
-1.7654e+00,1.2826e+00,3.0034e+00,9.9999537e-04
-1.9679e+00,8.7615e-01,2.9648e+00,9.9999939e-04
-2.1127e+00,4.4907e-01,2.9729e+00,9.9999692e-04
-2.1964e+00,3.3300e-06,3.0231e+00,9.9999629e-04
-2.2097e+00,-4.6967e-01,3.1093e+00,9.9999933e-04
-2.1393e+00,-9.5249e-01,3.2232e+00,9.9997892e-04
-1.9705e+00,-1.4316e+00,3.3523e+00,9.9995103e-04
-1.6923e+00,-1.8795e+00,3.4810e+00,9.9994297e-04
-1.3055e+00,-2.2611e+00,3.5937e+00,9.9994965e-04
-8.2574e-01,-2.5413e+00,3.6779e+00,9.9995853e-04
-2.8289e-01,-2.6914e+00,3.7248e+00,9.9996391e-04
2.8326e-01,-2.6951e+00,3.7299e+00,9.9996450e-04
8.2902e-01,-2.5515e+00,3.6926e+00,9.9996021e-04
1.3138e+00,-2.2755e+00,3.6165e+00,9.9995191e-04
1.7062e+00,-1.8950e+00,3.5097e+00,9.9994392e-04
1.9891e+00,-1.4452e+00,3.3840e+00,9.9994788e-04
2.1613e+00,-9.6229e-01,3.2564e+00,9.9997379e-04
2.2372e+00,-4.7552e-01,3.1480e+00,9.9999793e-04
2.5683e+00,3.3300e-06,2.7350e+00,9.9999672e-04
2.5376e+00,4.6051e-01,2.7464e+00,9.9999728e-04
2.4694e+00,9.2680e-01,2.8088e+00,9.9999989e-04
2.3421e+00,1.3993e+00,2.9053e+00,9.9998368e-04
2.1303e+00,1.8612e+00,3.0124e+00,9.9995625e-04
1.8203e+00,2.2826e+00,3.1090e+00,9.9994485e-04
1.4151e+00,2.6297e+00,3.1800e+00,9.9994556e-04
9.3327e-01,2.8723e+00,3.2161e+00,9.9994798e-04
4.0500e-01,2.9899e+00,3.2130e+00,9.9994757e-04
-1.3360e-01,2.9746e+00,3.1708e+00,9.9994448e-04
-6.4660e-01,2.8329e+00,3.0943e+00,9.9994358e-04
-1.1047e+00,2.5845e+00,2.9930e+00,9.9995579e-04
-1.4906e+00,2.2582e+00,2.8814e+00,9.9998462e-04
-1.8027e+00,1.8855e+00,2.7779e+00,9.9999999e-04
-2.0514e+00,1.4904e+00,2.7002e+00,9.9999503e-04
-2.2490e+00,1.0831e+00,2.6582e+00,1.0000024e-03
-2.3999e+00,6.6232e-01,2.6511e+00,1.0000056e-03
-2.5000e+00,2.2500e-01,2.6730e+00,9.9999814e-04
-2.5437e+00,-2.2894e-01,2.7197e+00,9.9999587e-04
-2.5263e+00,-6.9722e-01,2.7908e+00,9.9945287e-04
-2.4398e+00,-1.1750e+00,2.8837e+00,9.9998709e-04
-2.2731e+00,-1.6515e+00,2.9920e+00,9.9995892e-04
-2.0145e+00,-2.1070e+00,3.1043e+00,9.9994414e-04
-1.6599e+00,-2.5146e+00,3.2085e+00,9.9994707e-04
-1.2159e+00,-2.8448e+00,3.2945e+00,9.9995614e-04
-7.0100e-01,-3.0712e+00,3.3546e+00,9.9996371e-04
-1.4258e-01,-3.1746e+00,3.3840e+00,9.9996743e-04
4.2608e-01,-3.1455e+00,3.3802e+00,9.9996695e-04
9.7027e-01,-2.9862e+00,3.3436e+00,9.9996230e-04
1.4583e+00,-2.7099e+00,3.2770e+00,9.9995399e-04
1.8653e+00,-2.3390e+00,3.1858e+00,9.9994503e-04
2.1767e+00,-1.9017e+00,3.0780e+00,9.9994406e-04
2.3896e+00,-1.4277e+00,2.9643e+00,9.9996256e-04
2.5130e+00,-9.4314e-01,2.8583e+00,9.9999159e-04
2.5652e+00,-4.6551e-01,2.7763e+00,9.9999966e-04
2.8485e+00,3.3300e-06,2.3565e+00,9.9999653e-04
2.8342e+00,4.6060e-01,2.3754e+00,9.9999586e-04
2.7920e+00,9.3210e-01,2.4350e+00,9.9999997e-04
2.7019e+00,1.4181e+00,2.5244e+00,9.9998515e-04
2.5381e+00,1.9073e+00,2.6265e+00,9.9995506e-04
2.2817e+00,2.3755e+00,2.7249e+00,9.9994338e-04
1.9273e+00,2.7922e+00,2.8067e+00,9.9994716e-04
1.4837e+00,3.1268e+00,2.8631e+00,9.9995376e-04
9.7147e-01,3.3539e+00,2.8887e+00,9.9995726e-04
4.1978e-01,3.4573e+00,2.8811e+00,9.9995618e-04
-1.3829e-01,3.4315e+00,2.8411e+00,9.9995082e-04
-6.7029e-01,3.2833e+00,2.7722e+00,9.9994406e-04
-1.1493e+00,3.0304e+00,2.6812e+00,9.9994492e-04
-1.5586e+00,2.6995e+00,2.5787e+00,9.9996635e-04
-1.8952e+00,2.3211e+00,2.4790e+00,9.9999559e-04
-2.1693e+00,1.9219e+00,2.3976e+00,9.9999771e-04
-2.3965e+00,1.5155e+00,2.3457e+00,9.9999675e-04
-2.5844e+00,1.1011e+00,2.3239e+00,1.0000031e-03
-2.7285e+00,6.7252e-01,2.3248e+00,1.0000023e-03
-2.8194e+00,2.2761e-01,2.3400e+00,9.9999850e-04
-2.8516e+00,-2.3020e-01,2.3667e+00,9.9999617e-04
-2.8256e+00,-6.9644e-01,2.4075e+00,9.9999780e-04
-2.7428e+00,-1.1686e+00,2.4664e+00,9.9999955e-04
-2.5987e+00,-1.6433e+00,2.5436e+00,9.9998459e-04
-2.3823e+00,-2.1105e+00,2.6329e+00,9.9995806e-04
-2.0829e+00,-2.5511e+00,2.7246e+00,9.9994491e-04
-1.6976e+00,-2.9404e+00,2.8088e+00,9.9994761e-04
